"emp_no","last_name","first_name"
99481,"Akaboshi","Arnd"
23815,"Akaboshi","Minghong"
13335,"Akaboshi","Val"
54045,"Akaboshi","Udaiprakash"
499310,"Akaboshi","Masanao"
479302,"Akaboshi","Shawna"
406648,"Akaboshi","Parviz"
238797,"Akaboshi","Filipp"
403627,"Akaboshi","Gennadi"
279774,"Akaboshi","Pascal"
462427,"Akaboshi","Sailaja"
270905,"Akaboshi","Idoia"
237338,"Akaboshi","Rildo"
498841,"Akaboshi","Dhritiman"
283289,"Akaboshi","Yechezkel"
200100,"Akaboshi","Kazuhito"
216943,"Akaboshi","Sudharsan"
495439,"Akaboshi","Claude"
477364,"Akaboshi","TRUE"
202510,"Akaboshi","Amstein"
100538,"Akaboshi","Spyrose"
401388,"Akaboshi","Katsuyuki"
106811,"Akazan","Yucel"
436085,"Akazan","Jiann"
98153,"Akazan","Shunichi"
97617,"Akazan","Mahmut"
498899,"Akazan","Kasidit"
269518,"Akazan","Yishay"
206847,"Akazan","Luise"
462344,"Akazan","Giao"
263552,"Akazan","Fan"
262742,"Akazan","Shuichi"
17767,"Akazan","Jianwen"
17644,"Akazan","Mats"
51120,"Akazan","Demin"
485200,"Akazan","Jacqueline"
30425,"Akazan","Rimli"
81402,"Akazan","Yannik"
240587,"Akazan","Zorica"
412611,"Akazan","Kankanahalli"
12301,"Akazan","Oksana"
34009,"Akazan","Boaz"
477151,"Akazan","Jaewoo"
34664,"Akazan","Tran"
21963,"Akazan","Shawna"
475679,"Akazan","Arve"
482288,"Akazan","Billur"
89901,"Akazan","Mariusz"
252867,"Akazan","Gal"
22377,"Akazan","Demos"
473611,"Akazan","Yechiam"
62595,"Akazan","Shietung"
207533,"Akazan","Faiza"
29306,"Akazan","Perla"
40693,"Akazan","Serge"
459049,"Akazan","Sudharsan"
484215,"Akazan","Arco"
427489,"Akazan","Torsten"
200887,"Akazan","Valeska"
23595,"Akazan","Seshu"
44793,"Akazan","Sumali"
275687,"Akazan","Richard"
460839,"Akazan","Vishu"
261484,"Akazan","Boguslaw"
70365,"Akiyama","Dines"
428622,"Akiyama","Marco"
79509,"Akiyama","Vitaly"
467189,"Akiyama","Ingmar"
82611,"Akiyama","Mabo"
234116,"Akiyama","Torsten"
57325,"Akiyama","Hidde"
65131,"Akiyama","Shakhar"
65907,"Akiyama","Elvia"
212714,"Akiyama","Dipayan"
424904,"Akiyama","Xiaoshan"
43441,"Akiyama","Kazuhiro"
14591,"Akiyama","Martijn"
11226,"Akiyama","Margareta"
53624,"Akiyama","Zdislav"
232686,"Akiyama","Kazuhiko"
484867,"Akiyama","Oldrich"
446546,"Akiyama","Basem"
438037,"Akiyama","Luigi"
250990,"Akiyama","Vasilii"
459147,"Akiyama","Jongsuk"
441067,"Akiyama","Toshimo"
277550,"Akiyama","Kazuhito"
467594,"Akiyama","Reinhard"
458633,"Akiyama","Hausi"
484067,"Akiyama","Terresa"
295900,"Akiyama","Zhonghui"
269192,"Akiyama","Ung"
243435,"Akiyama","Moriyoshi"
217250,"Akiyama","Hongzue"
90764,"Akiyama","Mingzeng"
277512,"Akiyama","Mana"
276399,"Alameldin","Geoffrey"
446475,"Alameldin","Lunjin"
280684,"Alameldin","Adel"
87628,"Alameldin","Sibyl"
109334,"Alameldin","Tsutomu"
285660,"Alameldin","Toshimori"
230085,"Alameldin","Aria"
449122,"Alameldin","Marin"
211765,"Alameldin","Saeko"
265543,"Alameldin","Nevio"
213801,"Alameldin","Aruna"
280650,"Alameldin","Hironoby"
425501,"Alameldin","Manton"
455141,"Alameldin","Harjit"
265077,"Alameldin","Divine"
427783,"Alameldin","Gennady"
264252,"Alameldin","Lokesh"
439714,"Alameldin","Fay"
264339,"Alameldin","Sanjeeva"
73556,"Alameldin","Sampalli"
39360,"Alameldin","Xiaobin"
205831,"Alameldin","Mahmut"
75370,"Alameldin","Kwee"
434605,"Alameldin","Yahiko"
89970,"Alameldin","Baruch"
42833,"Alameldin","Kousuke"
403285,"Alameldin","Geoff"
472911,"Alameldin","Wonhee"
65998,"Alameldin","Mandell"
248479,"Alameldin","Gila"
45390,"Alameldin","Sedat"
48313,"Alameldin","Fox"
51751,"Alameldin","Marek"
20836,"Alameldin","Jingling"
99832,"Alameldin","Avishai"
487987,"Alameldin","Poorav"
285201,"Alameldin","Bernd"
207806,"Alameldin","Limsoon"
20817,"Albarhamtoshy","Yucai"
235238,"Albarhamtoshy","Pranjal"
435281,"Albarhamtoshy","Badri"
59413,"Albarhamtoshy","Huei"
36417,"Albarhamtoshy","Aamod"
235853,"Albarhamtoshy","Sadegh"
499271,"Albarhamtoshy","Ghassan"
31533,"Albarhamtoshy","Trygve"
291936,"Albarhamtoshy","Mario"
70940,"Albarhamtoshy","Rasiah"
26757,"Albarhamtoshy","Masanao"
462231,"Albarhamtoshy","Anneke"
45552,"Albarhamtoshy","Aloys"
13736,"Albarhamtoshy","Pranas"
66961,"Albarhamtoshy","Lech"
215632,"Albarhamtoshy","Franziska"
294922,"Albarhamtoshy","Kauko"
438961,"Albarhamtoshy","Marsha"
470322,"Albarhamtoshy","Kokou"
48909,"Albarhamtoshy","Ghassan"
11715,"Albarhamtoshy","Arnd"
461175,"Albarhamtoshy","Hitofumi"
282266,"Albarhamtoshy","Zhensheng"
443777,"Albarhamtoshy","Lena"
233966,"Albarhamtoshy","Shimshon"
441386,"Albarhamtoshy","Marie"
447050,"Albarhamtoshy","Satosi"
439542,"Albarhamtoshy","Roselyn"
283395,"Albarhamtoshy","Keung"
244592,"Albarhamtoshy","Saeed"
294119,"Albarhamtoshy","Oldrich"
438707,"Albarhamtoshy","Valeri"
274446,"Albarhamtoshy","Saeed"
82150,"Albarhamtoshy","Gererd"
476204,"Albarhamtoshy","Phuoc"
280675,"Albarhamtoshy","Chriss"
422716,"Albarhamtoshy","Arvind"
274551,"Albarhamtoshy","Giordano"
496077,"Albarhamtoshy","Anyuan"
261569,"Albarhamtoshy","Thodoros"
224279,"Albarhamtoshy","Weidon"
475235,"Albarhamtoshy","Richard"
477822,"Alblas","Angel"
420464,"Alblas","Shan"
206053,"Alblas","Tsuneo"
461330,"Alblas","Sadun"
447192,"Alblas","Berni"
230627,"Alblas","Chenxi"
210361,"Alblas","Basim"
36908,"Alblas","Nahid"
41407,"Alblas","Nalini"
299302,"Alblas","Saddek"
36356,"Alblas","Susumu"
252568,"Alblas","Alselm"
89868,"Alblas","Itzchak"
211241,"Alblas","Elzbieta"
427243,"Alblas","Hisao"
47937,"Alblas","Gennadi"
28487,"Alblas","Ziva"
239368,"Alblas","Mingsen"
469085,"Alblas","Steen"
33515,"Alblas","Hidekazu"
99495,"Alblas","Tayeb"
248531,"Alblas","Mart"
289063,"Alblas","Deniz"
104601,"Alblas","Georgy"
61865,"Alblas","Jouni"
245790,"Alblas","Yongmao"
38048,"Alblas","Stella"
109197,"Alencar","Augustine"
109654,"Alencar","Masako"
74750,"Alencar","Tsutomu"
434168,"Alencar","Aiman"
257953,"Alencar","Kwangyoen"
53418,"Alencar","Hiroyasu"
77215,"Alencar","Mingsen"
408016,"Alencar","Oddvar"
41687,"Alencar","Weidon"
297567,"Alencar","Houman"
37903,"Alencar","Sibyl"
455912,"Alencar","Guther"
62900,"Alencar","Gio"
238341,"Alencar","Perry"
450234,"Alencar","Xianlong"
489599,"Alencar","Gianluca"
284518,"Alencar","Susumu"
67643,"Alencar","Kiyotoshi"
74969,"Alencar","Florian"
255740,"Alencar","Tru"
404931,"Alencar","Mara"
453664,"Alencar","Mohan"
201665,"Alencar","Troy"
265355,"Alencar","Heng"
427066,"Alencar","Chandrasekaran"
258477,"Alencar","Petter"
436958,"Alencar","Nimmagadda"
227910,"Alencar","Saniya"
93125,"Alencar","Charmane"
419553,"Alencar","Shushma"
97666,"Alencar","Spyrose"
413573,"Aloia","Giordano"
484033,"Aloia","Sanjeeva"
201626,"Aloia","Guiseppe"
271867,"Aloia","Chenye"
416018,"Aloia","Fen"
479817,"Aloia","Kiyokazu"
459843,"Aloia","Weidon"
407078,"Aloia","Rosella"
240999,"Aloia","Raimond"
231877,"Aloia","Weijing"
475152,"Aloia","Arie"
439040,"Aloia","Nakhoon"
76407,"Aloia","Elliott"
221882,"Aloia","Sahrah"
55874,"Aloia","Younwoo"
76678,"Aloia","Doohun"
31963,"Aloia","Heeju"
33975,"Aloia","Barry"
420876,"Aloia","Aloys"
210476,"Aloia","Kwangho"
210038,"Aloia","Emdad"
36874,"Aloia","Genki"
222836,"Aloia","Ishfaq"
209371,"Aloia","Karsten"
472515,"Aloia","Danai"
471529,"Aloia","Munir"
44154,"Aloia","Yefim"
233767,"Aloia","Maya"
101964,"Aloia","Gretta"
461774,"Aloia","Vitaly"
99732,"Aloia","Mong"
298130,"Aloia","Vugranam"
434162,"Aloia","Bodo"
60644,"Aloia","Nikolaos"
456007,"Aloia","Souichi"
252487,"Aloia","Gennady"
19314,"Aloia","JoAnna"
70420,"Aloia","Xuejun"
30508,"Aloisi","Herbert"
42074,"Aloisi","Georgy"
490252,"Aloisi","Kristof"
201279,"Aloisi","Tsz"
279185,"Aloisi","Xiaoqiu"
72503,"Aloisi","Piyawadee"
421336,"Aloisi","Gretta"
233532,"Aloisi","Kamakshi"
15709,"Aloisi","Lena"
30209,"Aloisi","Yannis"
228246,"Aloisi","Bartek"
287859,"Aloisi","Yuriy"
73863,"Aloisi","Somnath"
287486,"Aloisi","Xiaopeng"
90151,"Aloisi","Richara"
427203,"Aloisi","Xuedong"
261839,"Aloisi","Magy"
477190,"Aloisi","Fan"
265132,"Aloisi","Baziley"
417152,"Aloisi","Chaitali"
260088,"Aloisi","Frazer"
496650,"Aloisi","Arumugam"
90193,"Aloisi","Xuedong"
403562,"Aloisi","Mikhail"
494487,"Alpay","Luerbio"
98890,"Alpay","Erez"
283622,"Alpay","Ohad"
414666,"Alpay","Fai"
211081,"Alpay","Luisa"
219523,"Alpay","Jaques"
496446,"Alpay","Jinpo"
298624,"Alpay","Rafols"
101271,"Alpay","Shawna"
441362,"Alpay","Lihong"
85365,"Alpay","Hideyuki"
484866,"Alpay","Hatem"
21135,"Alpay","KayLiang"
407889,"Alpay","Mariusz"
40224,"Alpay","Genevieve"
92933,"Alpay","Kamakshi"
102870,"Alpay","Marsal"
407643,"Alpay","Arunachalam"
222029,"Alpay","Sreenivas"
53555,"Alpay","Elgin"
440864,"Alpay","Tonia"
52240,"Alpay","Ibibia"
66888,"Alpay","Elvia"
102410,"Alpay","Boalin"
419230,"Alpay","Siamak"
27795,"Alpay","Anneli"
405888,"Alpay","Leucio"
437161,"Alpay","Niclas"
200777,"Alpay","Ziyad"
80565,"Alpay","Ekawit"
56618,"Alpay","Vidar"
295094,"Alpay","Hitomi"
465434,"Alpay","Dayanand"
492769,"Alpay","Susanne"
202349,"Alpay","Takahiro"
61070,"Alpay","Girolamo"
215818,"Alpin","Krisda"
13292,"Alpin","Bokyung"
70525,"Alpin","Ohad"
207062,"Alpin","Vasilis"
464670,"Alpin","Ortrun"
105902,"Alpin","Constantine"
418000,"Alpin","Yuichiro"
298052,"Alpin","Aleksander"
241956,"Alpin","Arch"
34271,"Alpin","Insup"
45514,"Alpin","Jessie"
227840,"Alpin","Berry"
67665,"Alpin","Sergi"
39377,"Alpin","Mingzeng"
14813,"Alpin","Naftali"
88107,"Alpin","Valery"
224048,"Alpin","Syozo"
209765,"Alpin","Yoshimitsu"
50948,"Alpin","Jouko"
41129,"Alpin","Teiji"
450913,"Alpin","Carrsten"
214801,"Alpin","Supot"
76713,"Alpin","Mitsuyuki"
251260,"Alpin","Xuejun"
238792,"Alpin","Kaijung"
442053,"Alpin","Weiwu"
202547,"Alpin","Patricio"
442362,"Alpin","Hailing"
464942,"Alpin","Shiv"
79943,"Alpin","Kwee"
465547,"Alpin","Bernice"
263970,"Alpin","Chenye"
287792,"Alpin","Tremaine"
488519,"Alpin","Qiwen"
474815,"Alpin","Jaroslava"
455466,"Alvarado","Jianhua"
106898,"Alvarado","Evgueni"
243078,"Alvarado","Randy"
276128,"Alvarado","Mohan"
272246,"Alvarado","Boutros"
289545,"Alvarado","Quingbo"
493454,"Alvarado","Muzhong"
490447,"Alvarado","Demin"
201925,"Alvarado","Persi"
80191,"Alvarado","Bouchung"
211850,"Alvarado","Isamu"
62842,"Alvarado","Ulises"
222128,"Alvarado","Isaac"
34586,"Alvarado","Qunsheng"
17801,"Alvarado","Taegyun"
295091,"Alvarado","Kiyokazu"
74587,"Alvarado","Matk"
47132,"Alvarado","Freyja"
10592,"Alvarado","Almudena"
71336,"Ambroszkiewicz","Parviz"
480988,"Ambroszkiewicz","Jeanna"
85373,"Ambroszkiewicz","Gennady"
84885,"Ambroszkiewicz","Gaetan"
19778,"Ambroszkiewicz","Ferdinand"
48258,"Ambroszkiewicz","Leif"
481984,"Ambroszkiewicz","Jayesh"
17377,"Ambroszkiewicz","Kien"
75964,"Ambroszkiewicz","Greger"
76142,"Ambroszkiewicz","Nikolaos"
73632,"Ambroszkiewicz","Juichirou"
416924,"Ambroszkiewicz","Vishwani"
41042,"Ambroszkiewicz","Jiafu"
61068,"Ambroszkiewicz","Dinkar"
30591,"Ambroszkiewicz","Zijian"
244027,"Ambroszkiewicz","Macha"
80801,"Ambroszkiewicz","Bluma"
234978,"Ambroszkiewicz","Akhilish"
286917,"Ambroszkiewicz","Shigehito"
418675,"Ambroszkiewicz","Adin"
287624,"Ambroszkiewicz","Francesca"
429513,"Ambroszkiewicz","Wanqing"
443145,"Ambroszkiewicz","Weiwu"
260048,"Ambroszkiewicz","Magdalena"
276290,"Ambroszkiewicz","Mayuko"
235094,"Ambroszkiewicz","Bikash"
499671,"Ambroszkiewicz","Jayesh"
277681,"Ambroszkiewicz","Taizo"
409307,"Ambroszkiewicz","Shai"
293346,"Ambroszkiewicz","Hausi"
98190,"Ambroszkiewicz","Masako"
98173,"Ambroszkiewicz","Irena"
417571,"Ambroszkiewicz","Geoffry"
477251,"Ambroszkiewicz","Jayson"
98128,"Ambroszkiewicz","Kazuhisa"
215658,"Ambroszkiewicz","Falguni"
256401,"Ambroszkiewicz","Moriyoshi"
433469,"Ambroszkiewicz","Barna"
480166,"Ambroszkiewicz","Kazuyasu"
476529,"Ambroszkiewicz","Kiyotoshi"
291385,"Anandan","Khun"
203207,"Anandan","Stepehn"
82950,"Anandan","Guenter"
291124,"Anandan","Yucai"
424476,"Anandan","Spyrose"
464456,"Anandan","Hyuncheol"
89774,"Anandan","Adhemar"
277946,"Anandan","Gonzalo"
489735,"Anandan","Krister"
215460,"Anandan","Eberhardt"
108250,"Anandan","Augustine"
446487,"Anandan","Uriel"
463329,"Anandan","Leon"
451503,"Anandan","Rance"
241952,"Anandan","Maya"
479867,"Anandan","Akemi"
57288,"Anandan","Elvis"
486582,"Anandan","Naftali"
60046,"Anandan","Mary"
16715,"Anandan","Satosi"
201047,"Anandan","Karoline"
107130,"Anandan","Nechama"
492739,"Anandan","Khalid"
43480,"Anandan","Arco"
57554,"Anandan","Moie"
412012,"Anandan","Mara"
41177,"Anandan","Jolita"
74583,"Anandan","Malu"
30655,"Anandan","Xuedong"
469651,"Ananiadou","Gaetan"
64699,"Ananiadou","Jaana"
466817,"Ananiadou","Gadiel"
422292,"Ananiadou","Theron"
105552,"Ananiadou","Kellie"
446367,"Ananiadou","Achilleas"
108375,"Ananiadou","Greger"
493829,"Ananiadou","Girolamo"
227711,"Ananiadou","Along"
491899,"Ananiadou","Mary"
415157,"Ananiadou","Insup"
490241,"Ananiadou","Deniz"
69429,"Ananiadou","Tooru"
14454,"Ananiadou","Gita"
56602,"Ananiadou","Mack"
407360,"Ananiadou","Masamitsu"
450937,"Ananiadou","Mahendra"
241885,"Ananiadou","Bezalel"
477750,"Ananiadou","Seongbin"
217561,"Ananiadou","Kiyotoshi"
255168,"Ananiadou","Ziva"
243780,"Ananiadou","Arto"
439086,"Ananiadou","Yongdong"
423634,"Ananiadou","Spyrose"
241325,"Ananiadou","Giordano"
431078,"Ananiadou","Adib"
482714,"Ananiadou","Fumino"
91681,"Ananiadou","Gennadi"
279858,"Ananiadou","Szabolcs"
455485,"Ananiadou","Theron"
479369,"Ananiadou","Shigenori"
477396,"Ananiadou","Willard"
441683,"Andreotta","Sanjai"
272400,"Andreotta","Nishit"
471343,"Andreotta","Mabo"
458040,"Andreotta","JiYoung"
269723,"Andreotta","Sachem"
455454,"Andreotta","Shuho"
420523,"Andreotta","Danco"
469821,"Andreotta","Aluzio"
420737,"Andreotta","Becky"
91277,"Andreotta","Hauke"
30991,"Andreotta","Jaber"
437092,"Andreotta","Gal"
80779,"Andreotta","Aamod"
69453,"Andreotta","Temple"
52469,"Andreotta","Claude"
79233,"Andreotta","Prasadram"
78163,"Andreotta","Ult"
108580,"Andreotta","Tiina"
443539,"Andreotta","Vishu"
451895,"Andreotta","Feiyu"
224367,"Andreotta","Remzi"
53464,"Andreotta","Odoardo"
471235,"Andreotta","Maha"
428219,"Androutsos","Ghassan"
25869,"Androutsos","Weiyi"
85332,"Androutsos","Odoardo"
494386,"Androutsos","Wojceich"
290236,"Androutsos","Bodo"
261511,"Androutsos","Shiv"
450656,"Androutsos","Heping"
427216,"Androutsos","Hugh"
33814,"Androutsos","Hairong"
434826,"Androutsos","Zito"
480205,"Androutsos","Subhash"
236778,"Androutsos","Djelloul"
17632,"Androutsos","Diederik"
222132,"Androutsos","Ulises"
81825,"Androutsos","Xiaoheng"
50096,"Androutsos","Hyuckchul"
443557,"Androutsos","Ute"
434817,"Androutsos","JoAnna"
200625,"Androutsos","Masako"
403959,"Androutsos","Aleksander"
227256,"Androutsos","Jasminko"
412427,"Androutsos","Kristen"
469300,"Androutsos","Fumitaka"
417830,"Androutsos","Geoff"
86766,"Androutsos","Mong"
464242,"Androutsos","Gen"
453020,"Androutsos","Marsja"
480150,"Androutsos","Munir"
422470,"Androutsos","Arvin"
277694,"Androutsos","Ute"
426012,"Androutsos","Arunachalam"
490539,"Androutsos","Ortrud"
461967,"Androutsos","Udo"
431403,"Angel","Aemilian"
455869,"Angel","Dipayan"
442133,"Angel","Bernd"
275200,"Angel","Lucian"
470167,"Angel","Aloke"
440725,"Angel","Fayez"
455461,"Angel","Adam"
465401,"Angel","Edwin"
244687,"Angel","Vitaly"
104155,"Angel","Toshimori"
430052,"Angel","Tsutomu"
47304,"Angel","Rosita"
271980,"Angel","Shigenori"
28685,"Angel","Valery"
493167,"Angel","Greger"
23694,"Angel","Ugo"
43291,"Angel","Pragnesh"
280076,"Angel","Nagui"
91472,"Angel","Jordanka"
238255,"Angel","Hinrich"
253621,"Angel","Gino"
37087,"Angel","Claudi"
63191,"Angel","Vincent"
239028,"Angel","Surveyors"
34722,"Angel","Tze"
88807,"Angel","Kristine"
86473,"Angel","Weijing"
213565,"Angel","Przemyslawa"
225307,"Angel","Shiv"
291549,"Angel","Kazuhito"
247076,"Angel","Bernice"
464671,"Angel","Aimee"
446623,"Angelopoulos","Beshir"
436780,"Angelopoulos","Manu"
17986,"Angelopoulos","Oguz"
298390,"Angelopoulos","Guiseppe"
234129,"Angelopoulos","Jaihie"
247010,"Angelopoulos","Mohua"
45498,"Angelopoulos","Georg"
294492,"Angelopoulos","Eishiro"
17124,"Angelopoulos","Amabile"
207526,"Angelopoulos","Satoru"
75305,"Angelopoulos","Manu"
15932,"Angelopoulos","Zijian"
41513,"Angelopoulos","Adly"
461881,"Angelopoulos","Somnath"
496326,"Angelopoulos","Xuejun"
215123,"Angelopoulos","Sangeeta"
400335,"Angelopoulos","Ennio"
230008,"Angelopoulos","Sajjan"
486562,"Angelopoulos","Radoslaw"
17690,"Angelopoulos","Panayotis"
481525,"Angelopoulos","Stabislas"
447003,"Angelopoulos","Leen"
434298,"Angelopoulos","Guenter"
454626,"Angelopoulos","Aran"
43222,"Angelopoulos","Lenore"
493214,"Angelopoulos","Snehasis"
200473,"Angelopoulos","Xiahua"
275898,"Angelopoulos","Jessie"
206407,"Angelopoulos","Miyeon"
422195,"Angelopoulos","Guoxiang"
216146,"Angelopoulos","Kazuyasu"
273385,"Angelopoulos","Arumugam"
487806,"Angelopoulos","Shigehiro"
436060,"Angelopoulos","Mitsuyuki"
108172,"Angelopoulos","Alois"
495267,"Angelopoulos","Giordano"
260904,"Angelopoulos","Lobel"
230691,"Angelopoulos","Mantis"
230986,"Angelopoulos","Mantis"
227659,"Angelopoulos","Takahira"
222563,"Angelov","Radhakrishnan"
412511,"Angelov","Abdulah"
473113,"Angelov","Toshimitsu"
278101,"Angelov","Vitali"
467296,"Angelov","Shuzo"
493440,"Angelov","Oscal"
422253,"Angelov","Prodip"
246040,"Angelov","Jackson"
238422,"Angelov","Vishv"
265903,"Angelov","Abdelkader"
448841,"Angelov","Berni"
236686,"Angelov","Palash"
270590,"Angelov","Morris"
99613,"Angelov","Ziyad"
103823,"Angelov","Jolita"
213730,"Angelov","Seongbin"
470524,"Angelov","Jinya"
485044,"Angelov","Josyula"
89480,"Angelov","Palash"
295916,"Angelov","Eberhardt"
85599,"Angelov","Charmane"
27516,"Angelov","Yurij"
493318,"Angelov","Zhonghua"
62449,"Angelov","Jixiang"
90092,"Angelov","Candida"
62434,"Angelov","Uta"
38763,"Angelov","Froduald"
93623,"Angelov","Valdiodio"
204520,"Angelov","Kwee"
95371,"Angelov","Maik"
434206,"Angelov","Elrique"
55826,"Angelov","Akemi"
410001,"Angelov","Boutros"
53868,"Angelov","Jixiang"
464304,"Angelov","Guadalupe"
466943,"Angelov","Mayuri"
27814,"Angelov","Shigenori"
442277,"Anger","Koichi"
31425,"Anger","Mohammad"
478397,"Anger","Mary"
33918,"Anger","Gunilla"
475048,"Anger","Sumant"
46777,"Anger","Shigehito"
484981,"Anger","Toshiko"
24429,"Anger","Murthy"
24153,"Anger","Lidong"
55400,"Anger","Eckart"
58441,"Anger","Shmuel"
22717,"Anger","Leif"
67136,"Anger","Sariel"
67406,"Anger","Hidekazu"
68365,"Anger","Girolamo"
449587,"Anger","Temple"
496315,"Anger","Yuichiro"
72809,"Anger","Sumant"
495629,"Anger","Ute"
80198,"Anger","Yefim"
406985,"Anger","Xiaobin"
232927,"Anger","Ebru"
425704,"Anger","Zhiguo"
420776,"Anger","Dhritiman"
215576,"Anger","Takushi"
220315,"Anger","Bedrich"
260602,"Anger","Kwangho"
461700,"Anger","Dekang"
425220,"Anger","Xiadong"
81159,"Anger","Yishai"
210739,"Anger","Alper"
448538,"Anger","Gunilla"
221068,"Anger","Cheong"
447320,"Anger","Geoffrey"
459158,"Anger","Naftali"
235970,"Anger","Paris"
231851,"Anger","Lena"
225819,"Anger","Arvind"
291356,"Anger","Hironoby"
419821,"Anger","Stella"
272760,"Anger","Aiman"
217295,"Angiulli","Jouko"
215436,"Angiulli","Yurii"
438350,"Angiulli","Prodip"
427436,"Angiulli","Annemarie"
271524,"Angiulli","Lubomir"
470949,"Angiulli","Jacopo"
233600,"Angiulli","Sergi"
423110,"Angiulli","Jaroslava"
499919,"Angiulli","Masako"
454081,"Angiulli","Paddy"
231781,"Angiulli","Pantung"
203171,"Angiulli","Marla"
274191,"Angiulli","Sibyl"
